Brooklyn Rolling Sales File.  All Sales From  September 2016 - August 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 09/11/17  Coop Sales File as of 09/08/17.,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 5/19/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6433,47, ,B1,8794 BAY 16TH   STREET, ,11214,2,0,2," 2,707 "," 2,000 ",1965,1,B1, -   ,1/5/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6433,47, ,B1,8794 BAY 16TH   STREET, ,11214,2,0,2," 2,707 "," 2,000 ",1965,1,B1, -   ,12/16/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6434,14, ,B3,8817 BAY 16TH STREET, ,11214,2,0,2," 1,643 "," 1,464 ",1930,1,B3," 820,000 ",1/3/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6434,16, ,B3,8813 BAY 16TH   STREET, ,11214,2,0,2," 1,643 "," 1,464 ",1930,1,B3," 293,700 ",1/9/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6435,24, ,B9,181 BAY 17TH STREET, ,11214,2,0,2," 2,815 "," 2,574 ",1965,1,B9, -   ,1/13/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6438,44, ,B9,8788 19TH   AVENUE, ,11214,2,0,2," 1,937 "," 2,620 ",1965,1,B9," 1,180,000 ",6/29/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6440,33, ,S2,1936 BATH AVENUE, ,11214,2,1,3," 2,015 "," 2,740 ",1910,1,S2, -   ,6/20/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6442,18, ,B3,8785 20TH   AVENUE, ,11214,2,0,2," 3,867 "," 2,514 ",1920,1,B3, -   ,2/24/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6447,16, ,B1,201 BAY 29TH   STREET, ,11214,2,0,2," 1,933 "," 1,976 ",1945,1,B1, 10 ,4/24/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6459,123, ,B9,297 BAY 8TH   STREET, ,11228,2,0,2," 1,442 "," 1,550 ",1925,1,B9," 830,000 ",10/6/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,4, ,B3,8937 15TH   AVENUE, ,11228,2,0,2," 1,740 "," 1,674 ",1960,1,B3, -   ,2/26/17
